Metric,Value,Timestamp
precipitation,90,2022-06-05T16:13:49.000Z
temperature,6,2022-06-01T09:01:49.000Z
temperature,83,2022-06-04T04:48:05.000Z
temperature,74,2022-06-07T01:32:54.000Z
precipitation,42,2022-06-05T03:03:45.000Z
precipitation,86,2022-06-08T09:44:23.000Z
precipitation,25,2022-06-05T08:08:23.000Z
temperature,32,2022-06-05T03:35:12.000Z
temperature,69,2022-06-02T23:41:56.000Z
temperature,48,2022-06-01T06:25:03.000Z
temperature,40,2022-06-01T04:15:05.000Z
precipitation,64,2022-06-01T11:54:48.000Z
precipitation,18,2022-06-02T20:07:40.000Z
precipitation,89,2022-06-04T08:30:30.000Z
temperature,91,2022-06-05T23:09:34.000Z
temperature,76,2022-06-04T16:24:34.000Z
precipitation,80,2022-06-08T22:37:32.000Z
precipitation,95,2022-06-02T00:13:43.000Z
temperature,62,2022-06-06T05:30:50.000Z
temperature,11,2022-06-03T07:31:20.000Z
precipitation,13,2022-06-02T16:02:38.000Z
precipitation,82,2022-06-02T12:06:17.000Z
precipitation,88,2022-06-05T09:23:57.000Z
temperature,18,2022-06-02T20:41:53.000Z
temperature,47,2022-06-03T03:03:02.000Z
precipitation,94,2022-06-03T04:15:20.000Z
temperature,37,2022-06-04T06:43:59.000Z
precipitation,9,2022-06-05T14:42:32.000Z
precipitation,94,2022-06-05T10:25:00.000Z
temperature,67,2022-06-06T21:38:52.000Z
precipitation,74,2022-06-06T08:19:01.000Z
temperature,69,2022-06-05T16:49:52.000Z
precipitation,61,2022-06-09T00:37:50.000Z
temperature,80,2022-06-04T16:42:02.000Z
temperature,72,2022-06-06T16:24:39.000Z
precipitation,26,2022-06-05T06:42:05.000Z
precipitation,89,2022-06-05T20:36:08.000Z
precipitation,35,2022-06-03T16:34:39.000Z
temperature,94,2022-06-05T15:41:08.000Z
precipitation,40,2022-06-08T03:03:34.000Z
temperature,5,2022-06-04T04:12:41.000Z
precipitation,90,2022-06-05T02:48:19.000Z
temperature,14,2022-06-05T03:34:37.000Z
temperature,83,2022-06-07T21:23:58.000Z
precipitation,19,2022-06-07T00:19:07.000Z
precipitation,1,2022-06-07T14:09:22.000Z
temperature,53,2022-06-02T23:14:42.000Z
precipitation,24,2022-06-03T07:56:58.000Z
precipitation,72,2022-06-01T15:32:39.000Z
precipitation,68,2022-06-07T16:30:23.000Z
temperature,8,2022-06-07T04:24:03.000Z
precipitation,59,2022-06-08T10:08:20.000Z
precipitation,82,2022-06-03T06:10:19.000Z
temperature,92,2022-06-05T19:53:14.000Z
temperature,75,2022-06-08T11:02:22.000Z
precipitation,51,2022-06-09T08:48:05.000Z
temperature,56,2022-06-05T19:28:17.000Z
precipitation,93,2022-06-02T15:03:53.000Z
temperature,6,2022-06-02T06:47:52.000Z
temperature,1,2022-06-07T23:37:45.000Z
precipitation,40,2022-06-05T19:45:09.000Z
precipitation,2,2022-06-05T04:52:59.000Z
temperature,87,2022-06-08T15:18:43.000Z
temperature,5,2022-06-09T22:13:40.000Z
temperature,25,2022-06-01T13:42:18.000Z
temperature,99,2022-06-06T10:56:31.000Z
temperature,82,2022-06-04T23:26:29.000Z
precipitation,6,2022-06-03T17:16:10.000Z
temperature,84,2022-06-07T12:53:54.000Z
temperature,52,2022-06-02T08:27:40.000Z
temperature,93,2022-06-09T07:25:12.000Z
temperature,81,2022-06-05T23:06:12.000Z
temperature,35,2022-06-08T20:38:57.000Z
temperature,75,2022-06-07T02:05:39.000Z
precipitation,4,2022-06-06T19:55:22.000Z
precipitation,27,2022-06-09T15:23:50.000Z
precipitation,53,2022-06-06T05:05:57.000Z
temperature,31,2022-06-09T19:30:47.000Z
temperature,6,2022-06-02T15:52:42.000Z
precipitation,92,2022-06-06T11:04:20.000Z
precipitation,46,2022-06-04T16:48:12.000Z
precipitation,83,2022-06-02T06:17:57.000Z
temperature,69,2022-06-05T10:27:01.000Z
temperature,79,2022-06-07T12:19:09.000Z
precipitation,39,2022-06-04T16:43:22.000Z
precipitation,52,2022-06-05T08:44:07.000Z
temperature,47,2022-06-06T09:24:03.000Z
precipitation,47,2022-06-09T22:47:51.000Z
precipitation,47,2022-06-06T20:27:41.000Z
temperature,46,2022-06-07T03:21:46.000Z
temperature,89,2022-06-07T10:00:26.000Z
precipitation,19,2022-06-08T06:19:13.000Z
temperature,72,2022-06-04T03:53:43.000Z
precipitation,19,2022-06-04T10:06:16.000Z
temperature,53,2022-06-05T12:56:05.000Z
precipitation,75,2022-06-07T04:13:36.000Z
temperature,44,2022-06-05T23:57:35.000Z
temperature,97,2022-06-09T11:26:17.000Z
precipitation,30,2022-06-05T15:25:13.000Z
precipitation,8,2022-06-01T02:03:53.000Z
temperature,53,2022-06-07T14:34:21.000Z
precipitation,50,2022-06-01T07:54:03.000Z
temperature,20,2022-06-05T23:50:22.000Z
precipitation,27,2022-06-09T03:47:01.000Z
temperature,92,2022-06-03T01:26:48.000Z
precipitation,3,2022-06-07T15:00:25.000Z
temperature,79,2022-06-01T14:37:18.000Z
precipitation,42,2022-06-07T01:54:02.000Z
temperature,71,2022-06-05T09:29:58.000Z
precipitation,96,2022-06-07T15:13:53.000Z
temperature,40,2022-06-07T03:45:40.000Z
precipitation,47,2022-06-09T03:21:17.000Z
temperature,90,2022-06-01T12:02:47.000Z
precipitation,25,2022-06-08T04:21:57.000Z
precipitation,46,2022-06-09T10:39:55.000Z
precipitation,66,2022-06-09T12:55:09.000Z
precipitation,11,2022-06-01T07:13:26.000Z
temperature,85,2022-06-06T15:18:35.000Z
precipitation,55,2022-06-02T17:59:37.000Z
precipitation,38,2022-06-07T20:12:35.000Z
precipitation,2,2022-06-01T18:28:22.000Z
temperature,33,2022-06-07T16:14:49.000Z
precipitation,91,2022-06-06T17:03:11.000Z
precipitation,11,2022-06-05T21:30:53.000Z
precipitation,15,2022-06-09T13:08:45.000Z
temperature,92,2022-06-09T18:00:33.000Z
